ncalls	Leaf	Root	StemLitter	LeafN	LeafLitter	RhizomeLitter	cws2	rhizome_senescence_index	DVI	doy	Stem	GrossAssim	year	RootLitter	StomataWS	hour	solar	temp	newStemcol	rh	windspeed	Grain	up_solar	kSeneLeaf	netsolar	kSeneStem	TTc	dw_solar	doy_dbl	kLeaf	precip	soil_water_content	kStem	canopy_assimilation_rate	soil_sand_content	vmax	soil_saturated_conductivity	lai	soil_wilting_point	soil_field_capacity	alpha	kRhizome	soil_saturation_capacity	soil_air_entry	development_rate_per_hour	kGrain	soil_silt_content	newLeafcol	cws1	day_length	kSeneRhizome	Rhizome	kRoot	canopy_transpiration_rate	soil_clay_content	LeafWS	soil_b_coefficient	kSeneRoot	newRhizomecol	soil_evaporation_rate	newRootcol	soil_bulk_density	Sp
69419.0	1.0298078067471375	1.6428355048615062	4.344913992770777e-06	2.0	2.1021960873457426e-10	0.0	0.32	0.0	1.0131227542113743	198.0	1.9929683445294162	0.045376311268285965	2002.0	0.0	0.9624493263661047	14.000000000000227	1390.971	30.425	0.012576657430448699	0.55465	3.38	0.002449734673913202	141.475	4.0949661697371705e-12	547.065	2.167254133234205e-08	663.3624932358858	697.625	198.58333333333334	0.45594299628802015	0.0	0.3154939191639326	0.3504875410932598	0.036131389855794165	0.32	99.0	6.4e-05	3.604327323614981	0.2	0.32	0.0	0.0	0.52	-2.6	0.00034601443031296713	0.0022950557391675053	0.34	0.016473854150901367	0.30197589347330006	14.7524981911037	0.0	1e-07	0.1912744068795526	2.3651085788268476	0.34	0.9789522797901301	5.2	0.0	0.0	0.0	0.00690958663873374	1.35	3.5
69419.0	1.0435483507094605	1.648594411902751	4.3883034411398605e-06	2.0	2.144844779618412e-10	0.0	0.32	0.0	1.0134650457275223	198.0	2.003451910024425	0.033343653405666814	2002.0	0.0	0.9622606288180124	15.0	1055.999	30.715	0.00828250928311136	0.5247	3.485	0.002519080637489934	111.25	4.129889736470127e-12	407.51	2.1749307240877394e-08	664.2191313851602	520.345	198.625	0.4562501450629534	0.0	0.3154712754581615	0.3503301070051135	0.023808797232059573	0.32	99.0	6.4e-05	3.6524192274831115	0.2	0.32	0.0	0.0	0.52	-2.6	0.00033790704412316923	0.002309119190477968	0.34	0.010862767190901623	0.3018870692724445	14.752498208507	0.0	1e-07	0.1911106287414551	1.9198521473432422	0.34	0.9788468892819909	5.2	0.0	0.0	0.0	0.004549157948710712	1.35	3.5
69419.0	1.0509673136295796	1.6516991392882032	4.432023464809088e-06	2.0	2.1882987803071312e-10	0.0	0.32	0.0	1.0138043057995727	198.0	2.009105726365245	0.019867346554449668	2002.0	0.0	0.9621271787962189	15.999999999999773	734.919	30.585	0.003876848513409095	0.52245	3.57	0.0025567243476917675	80.495	4.1647978990750414e-12	275.975	2.1825661588851115e-08	665.0802610763869	351.645	198.66666666666666	0.4565545507272724	0.0	0.31545526145554625	0.3501739628208872	0.01114860388300355	0.32	99.0	6.4e-05	3.678385597703529	0.2	0.32	0.0	0.0	0.52	-2.6	0.00034157611388578184	0.0023231419697541523	0.34	0.0050899458370410105	0.30182062991858555	14.752498199093699	0.0	1e-07	0.19094834448208625	1.2387044192902712	0.34	0.9787723576577109	5.2	0.0	0.0	0.0	0.0021283640742011836	1.35	3.5
69419.0	1.0530554823325486	1.652387234338592	4.4759690612381114e-06	2.0	2.2323268769791898e-10	0.0	0.32	0.0	1.014152355929321	198.0	2.010358794359974	0.00737383520694305	2002.0	0.0	0.9620478658314711	17.000000000000227	370.944	30.02	0.0	0.5379999999999999	3.06	0.002565079692791055	44.11	4.200917166922618e-12	137.815	2.1904272805729916e-08	665.928635442025	173.08	198.70833333333334	0.4568668191214885	0.0	0.31544574389977653	0.3500136650537164	-0.00035491083889613805	0.32	99.0	6.4e-05	3.6856941881639202	0.2	0.32	0.0	0.0	0.52	-2.6	0.00035686828146232853	0.0023376153681889267	0.34	-0.00035491083889613805	0.30178435670671067	14.7524981682317	0.0	1e-07	0.1907819004566062	0.565646737909787	0.34	0.9787280623896961	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.049532887101151	1.6523534309181294	4.520099212773593e-06	2.0	2.2767001314837317e-10	0.0	0.32	0.0	1.014528681728112	198.0	2.01029775581011	0.0017552105245876167	2002.0	0.0	0.9620242407156776	18.0	144.325	28.63	0.0	0.60395	2.91	0.00256470313048419	20.7	4.2403233053176175e-12	55.95	2.1989589019973697e-08	666.7298473488178	67.845	198.75	0.45720442793650967	0.0	0.31544290888588133	0.3498402216591805	-0.005703900629763779	0.32	99.0	6.4e-05	3.673365104854028	0.2	0.32	0.0	0.0	0.52	-2.6	0.00039001199596300413	0.0023533646794235163	0.34	-0.005703900629763779	0.30177222532230497	14.752498036239901	0.0	1e-07	0.19060198572488635	0.19811625412545303	0.34	0.9787148681963563	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.0429930648134622	1.6523534309181294	4.564397594051034e-06	2.0	2.3212948392179622e-10	0.0	0.32	0.0	1.0149400424381694	198.0	2.0102977115117286	0.00019093011906836586	2002.0	0.0	0.9620147406801962	18.999999999999773	8.855	26.64	0.0	0.6988	2.08	0.00256470313048419	0.68	4.283821036290539e-12	3.62	2.208322813087769e-08	667.4619280269939	1.83	198.79166666666666	0.4575734326761276	0.0	0.31544176888162356	0.3496504849893915	-0.006558382071332149	0.32	99.0	6.4e-05	3.6504757268471177	0.2	0.32	0.0	0.0	0.52	-2.6	0.00042780128633012037	0.00237069996242022	0.34	-0.006558382071332149	0.30176737888242156	14.7443779743992	0.0	1e-07	0.1904053823720607	0.09655523135865353	0.34	0.9787095626177045	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.0367187041777712	1.6523534309181294	4.608890664658671e-06	2.0	2.366080638250732e-10	0.0	0.32	0.0	1.0153743275717904	198.0	2.0102976670186585	1.7074732904546323e-06	2002.0	0.0	0.9620078911537391	20.000000000000227	0.023	25.685	0.0	0.7318	1.915	0.00256470313048419	0.0	4.330227109913945e-12	0.0	2.2182518314677378e-08	668.1354894657694	0.0	198.83333333333334	0.4579629612076084	0.0	0.3154409469384487	0.3494500090016985	-0.006333066207741958	0.32	99.0	6.4e-05	3.6285154646221995	0.2	0.32	0.0	0.0	0.52	-2.6	0.0004401610045212498	0.002389138001260932	0.34	-0.006333066207741958	0.3017638995888875	14.749851153919302	0.0	1e-07	0.19019789178943214	0.07894915104464802	0.34	0.9787057373009559	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.0307632094721821	1.6523534309181298	4.653587451962185e-06	2.0	2.4110928270614304e-10	0.0	0.32	0.0	1.015824076998099	198.0	2.010297622321871	2.8813673915208177e-05	2002.0	0.0	0.9620025982787488	21.0	0.391	23.865	0.0	0.8117	2.615	0.00256470313048419	0.0	4.378815588468275e-12	0.0	2.228581465761782e-08	668.7489295891793	0.0	198.875	0.45836631556319957	0.0	0.3154403117934499	0.3492422150882348	-0.005627328397142478	0.32	99.0	6.4e-05	3.6076712331526375	0.2	0.32	0.0	0.0	0.52	-2.6	0.00045741821468937957	0.002408381687063101	0.34	-0.005627328397142478	0.30176128200671726	14.7505373844729	0.0	1.0000000000000001e-07	0.18998308766150243	0.04801266642957674	0.34	0.9787027813447897	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.0253555309433318	1.6523534309181296	4.698495205091037e-06	2.0	2.4563652534276257e-10	0.0	0.32	0.0	1.0162855578446897	198.0	2.010297577414118	3.376684056884279e-05	2002.0	0.0	0.9620006942928656	21.999999999999773	0.46	23.23	0.0	0.8954	2.39	0.00256470313048419	0.0	4.429238238273951e-12	0.0	2.2392305431013004e-08	669.3020456522943	0.0	198.91666666666666	0.4587801424802159	0.0	0.3154400833151439	0.34902881147290277	-0.005387760098384925	0.32	99.0	6.4e-05	3.5887443583016614	0.2	0.32	0.0	0.0	0.52	-2.6	0.0004611234082573196	0.0024282862495813343	0.34	-0.005387760098384925	0.30176036689850666	14.750707931996901	0.0	1e-07	0.18976275979729995	0.023988659280636173	0.34	0.978701718010596	5.2	0.0	0.0	0.0	0.0	1.35	3.5
69419.0	1.0200970839154895	1.6523534309181296	4.743618066955409e-06	2.0	2.501921739003623e-10	0.0	0.32	0.0	1.016748681571062	198.0	2.010297532291256	3.354461878862456e-05	2002.0	0.0	0.9620125440562015	23.000000000000227	0.46	22.185	0.0	0.9390000000000001	2.195	0.00256470313048419	0.0	4.480424129348265e-12	0.0	2.249968688624183e-08	669.8387823498509	0.0	198.95833333333334	0.4591953916573606	0.0	0.3154415052867442	0.34881445519159326	-0.00501977231132344	0.32	99.0	6.4e-05	3.570339793704213	0.2	0.32	0.0	0.0	0.52	-2.6	0.00046468291876346023	0.002448424784591423	0.34	-0.00501977231132344	0.3017660281246942	14.750892642807699	0.0	1e-07	0.1895417283664548	0.012668861475506018	0.34	0.9787083358487697	5.2	0.0	0.0	0.0	0.0	1.35	3.5
